                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3624,                 3.7279,                 1.3985,                0.00875,                0.81852,                0.34751,                0.28133,                 1.1812,                 3.1754,                 1.2724,             0.00032381,             0.00032381,             0.00032381
                      2,                  1.267,                 2.4789,                 1.3477,                0.68927,                 0.4929,                0.57926,                 0.4281,                 1.0798,                 2.2972,                 1.2488,             0.00065214,             0.00065214,             0.00065214
                      3,                 1.3191,                 2.2953,                 1.3833,                 0.8999,                0.60719,                 0.6431,                0.45455,                 1.2223,                 1.7676,                  1.493,             0.00097539,             0.00097539,             0.00097539
                      4,                 1.2971,                 2.0945,                  1.393,                0.64523,                0.55235,                0.57084,                0.41737,                 1.2469,                 1.8323,                 1.3986,             0.00097715,             0.00097715,             0.00097715
                      5,                 1.2943,                 1.9656,                 1.3624,                0.63129,                0.57191,                0.63527,                0.46816,                 1.1287,                 1.5066,                 1.2899,             0.00096954,             0.00096954,             0.00096954
                      6,                 1.2346,                 1.8646,                 1.3294,                 0.6569,                 0.6913,                0.73446,                0.51492,                 1.0312,                 1.2843,                 1.2305,             0.00096192,             0.00096192,             0.00096192
                      7,                  1.221,                 1.7201,                 1.3265,                0.74907,                0.83148,                0.77706,                0.54071,                 1.0648,                  1.449,                  1.241,             0.00095431,             0.00095431,             0.00095431
                      8,                 1.2146,                 1.6787,                 1.3113,                0.90402,                0.70431,                0.78284,                0.57505,                 1.1111,                 1.0495,                 1.2692,             0.00094669,             0.00094669,             0.00094669
                      9,                 1.1616,                 1.5166,                 1.2676,                0.94854,                0.74224,                0.79846,                0.58942,                 1.0655,                0.97424,                 1.2358,             0.00093908,             0.00093908,             0.00093908
                     10,                 1.1805,                 1.4692,                 1.2807,                0.86396,                0.82666,                0.85487,                0.59277,                  1.119,                0.90843,                 1.2856,             0.00093146,             0.00093146,             0.00093146
                     11,                 1.1807,                 1.4426,                 1.2964,                0.66089,                0.80514,                0.74692,                0.54135,                 1.0281,                   1.11,                 1.2464,             0.00092385,             0.00092385,             0.00092385
                     12,                 1.1167,                 1.3221,                 1.2438,                0.92621,                0.79296,                0.82162,                0.59209,                 1.0035,                0.91845,                 1.1982,             0.00091623,             0.00091623,             0.00091623
                     13,                 1.1008,                 1.2113,                 1.2351,                0.82188,                0.79815,                0.81927,                 0.5964,                  1.047,                0.87492,                 1.2346,             0.00090862,             0.00090862,             0.00090862
                     14,                 1.0659,                 1.2254,                 1.2264,                0.84196,                0.79049,                0.81331,                0.58374,                 1.0531,                0.85781,                 1.2439,               0.000901,               0.000901,               0.000901
                     15,                 1.1018,                  1.193,                 1.2403,                0.90885,                0.83303,                0.87338,                0.63051,                0.97499,                0.67577,                 1.1466,             0.00089338,             0.00089338,             0.00089338
                     16,                 1.0786,                 1.1363,                 1.2226,                0.93677,                0.76513,                 0.8407,                0.61585,                0.93287,                0.71712,                 1.1391,             0.00088577,             0.00088577,             0.00088577
                     17,                 1.0393,                 1.0634,                 1.1954,                 0.8956,                0.82223,                0.85738,                0.62177,                0.99797,                0.71496,                 1.1725,             0.00087815,             0.00087815,             0.00087815
                     18,                 1.0838,                   1.13,                 1.2493,                0.69979,                0.86307,                0.82544,                0.60648,                 1.0267,                0.77488,                 1.1939,             0.00087054,             0.00087054,             0.00087054
                     19,                 1.1006,                 1.0375,                 1.2159,                0.91853,                0.82086,                0.86094,                0.62647,                 1.0175,                0.66748,                 1.1826,             0.00086292,             0.00086292,             0.00086292
                     20,                 1.0517,                 1.0088,                 1.2023,                0.95863,                0.79623,                0.87263,                0.63898,                0.97195,                0.64355,                 1.1603,             0.00085531,             0.00085531,             0.00085531
                     21,                 1.0178,                0.96995,                 1.1943,                0.98021,                0.85887,                0.91063,                0.66359,                0.91059,                0.61527,                 1.0928,             0.00084769,             0.00084769,             0.00084769
                     22,                 1.0978,                0.98651,                 1.2185,                0.86934,                0.85201,                0.87201,                0.62029,                0.96854,                0.68141,                  1.155,             0.00084008,             0.00084008,             0.00084008
                     23,                 1.0237,                0.93955,                 1.1837,                0.87618,                0.85782,                 0.8742,                0.62819,                 1.0252,                0.71799,                 1.1882,             0.00083246,             0.00083246,             0.00083246
                     24,                 1.0275,                0.94622,                 1.2056,                0.85884,                0.88771,                0.91794,                0.62439,                0.99584,                0.64546,                 1.1379,             0.00082485,             0.00082485,             0.00082485
                     25,                 1.0205,                0.91927,                 1.1945,                0.84858,                0.84074,                0.83959,                0.59039,                 1.0501,                0.72409,                 1.1819,             0.00081723,             0.00081723,             0.00081723
                     26,                 1.0256,                0.95181,                 1.1985,                0.95108,                0.89259,                0.92659,                0.62125,                  1.046,                0.70111,                 1.2095,             0.00080962,             0.00080962,             0.00080962
                     27,                0.97145,                0.86031,                  1.173,                0.81139,                0.77895,                0.86126,                 0.5981,                 1.0443,                0.80579,                 1.2001,               0.000802,               0.000802,               0.000802
                     28,                 1.0091,                0.87701,                 1.1932,                0.91623,                0.86626,                0.91742,                0.68886,                0.94889,                0.60946,                  1.169,             0.00079438,             0.00079438,             0.00079438
                     29,                 0.9784,                0.85687,                   1.16,                0.92554,                0.86565,                 0.9286,                0.62418,                 1.0101,                0.64213,                 1.1948,             0.00078677,             0.00078677,             0.00078677
                     30,                0.96093,                0.83024,                  1.146,                0.97357,                0.84881,                0.89417,                0.65808,                0.96037,                0.54786,                 1.1419,             0.00077915,             0.00077915,             0.00077915
                     31,                0.96287,                0.81404,                  1.156,                0.83832,                0.86135,                0.89256,                0.64563,                0.99039,                 0.5836,                 1.1551,             0.00077154,             0.00077154,             0.00077154
                     32,                 0.9595,                0.78911,                 1.1525,                 0.8641,                0.86019,                0.88797,                0.63117,                0.97012,                0.61506,                 1.1374,             0.00076392,             0.00076392,             0.00076392
                     33,                0.97869,                0.79253,                 1.1633,                0.88479,                 0.8874,                0.91469,                 0.6559,                0.95389,                0.57784,                 1.1309,             0.00075631,             0.00075631,             0.00075631
                     34,                0.93839,                0.75153,                 1.1296,                0.91139,                0.83977,                0.88388,                0.65308,                0.95505,                0.61006,                 1.1378,             0.00074869,             0.00074869,             0.00074869
                     35,                0.96574,                 0.7858,                 1.1557,                0.83592,                0.89748,                0.88108,                0.66277,                0.95835,                0.57249,                 1.1585,             0.00074108,             0.00074108,             0.00074108
                     36,                0.91701,                0.74149,                 1.1262,                0.91977,                0.91147,                0.92459,                0.64633,                 1.0554,                0.55647,                 1.2371,             0.00073346,             0.00073346,             0.00073346
                     37,                0.90612,                  0.708,                 1.1168,                0.91007,                0.85404,                0.89414,                0.64707,                0.96434,                0.56332,                 1.1512,             0.00072585,             0.00072585,             0.00072585
                     38,                0.97344,                0.76626,                 1.1724,                0.90467,                0.91231,                0.92312,                0.64886,                0.98843,                0.53232,                 1.1823,             0.00071823,             0.00071823,             0.00071823
                     39,                0.93997,                0.73959,                 1.1315,                0.94641,                0.79937,                 0.8803,                0.61374,                0.98327,                0.57917,                 1.1966,             0.00071062,             0.00071062,             0.00071062
                     40,                0.95422,                0.76371,                  1.143,                0.93775,                0.87156,                0.90264,                 0.6847,                0.89118,                 0.5248,                 1.1339,               0.000703,               0.000703,               0.000703
                     41,                0.93344,                0.70287,                 1.1299,                0.85394,                0.92037,                0.92822,                  0.662,                 0.9696,                0.56652,                 1.1597,             0.00069538,             0.00069538,             0.00069538
                     42,                0.86508,                0.67476,                 1.1036,                 0.9641,                0.93935,                0.97094,                0.68763,                0.96028,                0.48219,                 1.1676,             0.00068777,             0.00068777,             0.00068777
                     43,                0.90508,                0.66561,                 1.1162,                0.95024,                0.84211,                0.90214,                0.67551,                0.91494,                0.53703,                  1.116,             0.00068015,             0.00068015,             0.00068015
                     44,                0.93148,                0.70068,                 1.1368,                0.91244,                0.86573,                0.91586,                0.67554,                0.97199,                0.52962,                 1.1665,             0.00067254,             0.00067254,             0.00067254
                     45,                0.89937,                0.68708,                 1.1029,                0.92969,                0.90297,                0.95809,                0.67758,                0.91556,                0.52531,                 1.1438,             0.00066492,             0.00066492,             0.00066492
                     46,                0.91024,                0.68596,                 1.1153,                0.97752,                0.95055,                0.95373,                0.64789,                 1.0267,                0.51876,                 1.1969,             0.00065731,             0.00065731,             0.00065731
                     47,                0.89058,                0.70304,                 1.1112,                0.93454,                0.87872,                0.91017,                0.65732,                 0.9755,                 0.4918,                 1.1492,             0.00064969,             0.00064969,             0.00064969
                     48,                0.87654,                0.64457,                 1.1089,                 0.9111,                0.90185,                 0.9453,                0.65853,                0.98388,                0.50082,                 1.1639,             0.00064208,             0.00064208,             0.00064208
                     49,                0.88163,                0.65202,                 1.0952,                0.92277,                0.93451,                0.96035,                0.67424,                0.93714,                0.47022,                 1.1011,             0.00063446,             0.00063446,             0.00063446
                     50,                0.91067,                0.65378,                 1.1044,                0.94276,                0.90951,                0.94906,                0.68482,                0.93167,                0.45418,                 1.1215,             0.00062685,             0.00062685,             0.00062685
                     51,                0.85857,                0.64669,                 1.0923,                0.92323,                0.89739,                0.93221,                0.69622,                0.91954,                0.46343,                 1.1338,             0.00061923,             0.00061923,             0.00061923
                     52,                0.83892,                0.60827,                 1.0757,                0.84493,                0.89259,                0.86633,                 0.6677,                0.91548,                0.46993,                 1.1349,             0.00061162,             0.00061162,             0.00061162
                     53,                0.83669,                0.61439,                 1.0746,                0.96046,                0.94932,                0.98003,                0.69664,                 0.9157,                0.49908,                 1.1262,               0.000604,               0.000604,               0.000604
                     54,                0.86668,                0.64591,                 1.0793,                0.92224,                0.92365,                0.93334,                0.68801,                0.89339,                 0.4531,                 1.1074,             0.00059638,             0.00059638,             0.00059638
                     55,                0.88439,                0.64467,                  1.115,                0.85121,                0.94586,                0.94163,                0.69589,                0.88172,                0.43486,                 1.1032,             0.00058877,             0.00058877,             0.00058877
                     56,                0.84175,                0.60895,                 1.0675,                0.94843,                0.88964,                 0.9609,                0.69315,                0.92762,                0.48445,                 1.1422,             0.00058115,             0.00058115,             0.00058115
                     57,                0.85151,                0.60893,                 1.0712,                0.91679,                0.89574,                0.96418,                0.67323,                0.93551,                0.46898,                 1.1432,             0.00057354,             0.00057354,             0.00057354
                     58,                0.88536,                0.62801,                 1.0905,                0.93519,                0.89259,                0.90675,                0.67497,                0.91711,                0.45678,                 1.1411,             0.00056592,             0.00056592,             0.00056592
                     59,                0.83621,                0.59831,                 1.0674,                0.92503,                0.90322,                0.93604,                0.68144,                  0.918,                0.42108,                 1.1452,             0.00055831,             0.00055831,             0.00055831
                     60,                0.82473,                 0.6066,                 1.0634,                0.87988,                0.89979,                0.92262,                 0.6802,                0.90812,                0.41361,                 1.1357,             0.00055069,             0.00055069,             0.00055069
                     61,                0.83055,                0.59399,                 1.0748,                0.94295,                0.87407,                 0.9303,                0.68814,                0.90372,                0.48388,                 1.1258,             0.00054308,             0.00054308,             0.00054308
                     62,                0.83792,                0.58517,                 1.0689,                0.89234,                0.87743,                0.91884,                0.67224,                0.91326,                0.48777,                 1.0986,             0.00053546,             0.00053546,             0.00053546
                     63,                0.82665,                0.59454,                 1.0458,                0.95693,                0.93741,                0.95334,                0.65228,                0.96922,                0.47696,                 1.1582,             0.00052785,             0.00052785,             0.00052785
                     64,                0.81172,                0.57282,                 1.0502,                0.93809,                0.94348,                0.95349,                0.69315,                0.90992,                0.47278,                 1.1012,             0.00052023,             0.00052023,             0.00052023
                     65,                0.80358,                0.56177,                 1.0636,                0.92404,                0.86369,                0.91444,                0.66068,                0.92382,                 0.4881,                 1.1234,             0.00051262,             0.00051262,             0.00051262
                     66,                0.79233,                0.55363,                 1.0598,                0.91259,                0.92037,                0.93357,                0.67864,                 0.8994,                0.42585,                 1.1346,               0.000505,               0.000505,               0.000505
                     67,                0.77262,                0.54975,                 1.0541,                0.89953,                0.86481,                0.91624,                0.65944,                0.90961,                  0.438,                 1.1298,             0.00049738,             0.00049738,             0.00049738
                     68,                0.83258,                0.55758,                  1.071,                0.91445,                0.92037,                0.92295,                0.66074,                0.92984,                0.44446,                 1.1147,             0.00048977,             0.00048977,             0.00048977
                     69,                0.80978,                0.57434,                 1.0626,                0.94901,                0.93799,                0.97406,                0.70837,                0.86934,                0.44676,                 1.1012,             0.00048215,             0.00048215,             0.00048215
                     70,                0.76686,                0.53418,                 1.0437,                0.98424,                0.92791,                0.96021,                0.67627,                0.89866,                0.41065,                   1.13,             0.00047454,             0.00047454,             0.00047454
                     71,                0.79847,                0.55183,                 1.0522,                0.98111,                0.92754,                 0.9798,                0.70492,                0.90096,                0.44387,                 1.1345,             0.00046692,             0.00046692,             0.00046692
                     72,                 0.7721,                0.54962,                 1.0451,                0.97382,                0.91784,                0.95323,                0.69409,                 0.9262,                0.45812,                 1.1344,             0.00045931,             0.00045931,             0.00045931
                     73,                 0.8006,                0.56712,                 1.0551,                 0.9561,                0.91167,                0.95715,                 0.6703,                0.93936,                0.44177,                 1.1469,             0.00045169,             0.00045169,             0.00045169
                     74,                0.80501,                0.55337,                 1.0464,                0.98371,                0.85246,                0.92415,                0.69142,                0.91435,                0.40859,                 1.1395,             0.00044408,             0.00044408,             0.00044408
                     75,                0.77734,                0.55294,                 1.0497,                0.97951,                 0.9537,                0.95889,                 0.6797,                0.89839,                 0.4191,                 1.1329,             0.00043646,             0.00043646,             0.00043646
                     76,                0.78619,                0.54201,                 1.0417,                  0.928,                  0.909,                0.92791,                0.67222,                0.87251,                0.39976,                 1.1151,             0.00042885,             0.00042885,             0.00042885
                     77,                 0.7885,                0.53744,                 1.0604,                0.93513,                0.94815,                0.93981,                0.65235,                0.92079,                0.44672,                 1.1457,             0.00042123,             0.00042123,             0.00042123
                     78,                0.74225,                0.51292,                 1.0203,                0.94989,                0.89047,                0.91204,                0.68134,                0.90106,                0.41177,                 1.1189,             0.00041362,             0.00041362,             0.00041362
                     79,                0.73317,                0.51909,                 1.0235,                0.98507,                0.85784,                0.93081,                0.68169,                0.88514,                0.41138,                 1.1054,               0.000406,               0.000406,               0.000406
                     80,                0.76948,                0.55071,                 1.0425,                  0.932,                0.93011,                0.94434,                0.67583,                0.88057,                0.39509,                 1.1141,             0.00039838,             0.00039838,             0.00039838
                     81,                0.69971,                0.48952,                 1.0061,                0.92788,                 0.9284,                0.94318,                0.68569,                0.89335,                0.40744,                 1.1495,             0.00039077,             0.00039077,             0.00039077
                     82,                0.73613,                0.53568,                 1.0275,                0.91677,                0.85926,                0.90339,                0.67586,                0.91637,                0.41997,                 1.1746,             0.00038315,             0.00038315,             0.00038315
                     83,                0.73936,                0.49991,                 1.0127,                0.96946,                0.91821,                0.96413,                0.67724,                0.90344,                0.40873,                 1.1608,             0.00037554,             0.00037554,             0.00037554
                     84,                0.75245,                0.52186,                 1.0384,                0.94332,                0.92037,                0.93173,                0.68586,                0.87362,                0.44294,                 1.1318,             0.00036792,             0.00036792,             0.00036792
                     85,                0.73924,                0.50621,                 1.0327,                0.90159,                0.90797,                0.92275,                0.69379,                0.90988,                0.42061,                 1.1486,             0.00036031,             0.00036031,             0.00036031
                     86,                0.70691,                0.48432,                 1.0087,                0.95002,                0.88704,                0.89101,                 0.6681,                0.91298,                0.41514,                 1.1357,             0.00035269,             0.00035269,             0.00035269
                     87,                0.72972,                0.50524,                 1.0309,                0.96583,                 0.8917,                0.93579,                0.68531,                0.88246,                0.40732,                 1.1148,             0.00034508,             0.00034508,             0.00034508
                     88,                0.74888,                0.51384,                 1.0197,                0.93382,                0.88924,                 0.9163,                0.69292,                0.85597,                0.40097,                 1.1058,             0.00033746,             0.00033746,             0.00033746
                     89,                0.71661,                0.49894,                 1.0099,                0.95036,                0.90859,                0.92803,                0.69621,                0.85935,                0.39547,                 1.1428,             0.00032985,             0.00032985,             0.00032985
                     90,                0.75436,                0.49832,                 1.0217,                0.95196,                0.92037,                0.92917,                0.67306,                0.91099,                0.41683,                 1.1499,             0.00032223,             0.00032223,             0.00032223
                     91,                0.73097,                0.50013,                 1.0267,                0.97395,                 0.8947,                0.93251,                0.68861,                0.89112,                 0.3951,                 1.1043,             0.00031462,             0.00031462,             0.00031462
                     92,                0.70078,                0.48384,                 1.0087,                0.87188,                0.93243,                0.94437,                 0.6935,                0.88647,                0.39526,                 1.1041,               0.000307,               0.000307,               0.000307
                     93,                0.70533,                  0.488,                 1.0131,                0.95141,                0.89098,                0.91343,                0.67342,                0.86355,                0.40381,                 1.1028,             0.00029938,             0.00029938,             0.00029938
                     94,                0.67699,                0.45764,                0.98061,                0.97836,                0.92037,                0.93671,                0.69197,                0.85221,                0.42003,                 1.1222,             0.00029177,             0.00029177,             0.00029177
